circuit_ref,name_ko,opening_year,layout_ref,length_meters,corners
suzuka,스즈카 서킷,1962,suzuka_2026,5807,18
albert_park,앨버트 파크 서킷,1996,albert_park_2026,5278,14
shanghai,상하이 인터내셔널 서킷,2004,shanghai_2026,5451,16
miami,마이애미 인터내셔널 오토드롬,2022,miami_2026,5412,19
villeneuve,질 빌뇌브 서킷,1978,villeneuve_2026,4361,14
monaco,모나코 서킷,1929,monaco_2026,3337,19
catalunya,바르셀로나-카탈루냐 서킷,1991,catalunya_2026,4657,14
red_bull_ring,레드불링,1969,red_bull_ring_2026,4326,10
silverstone,실버스톤 서킷,1948,silverstone_2026,5891,18
spa,스파-프랑코샹 서킷,1921,spa_2026,7004,20
hungaroring,헝가로링,1986,hungaroring_2026,4381,16
zandvoort,잔드보르트 서킷,1948,zandvoort_2026,4259,14
monza,아우토드로모 나치오날레 몬차,1922,monza_2026,5793,11
